       [Log] 11:57, INFO, reading: sydy.extension.ioformat.SydyExportStatInv enabled
       [Log] 11:57, INFO, reading: mediterranea.extension.intervener.AgeHistoFisher enabled
       [Log] 11:57, INFO, reading: regelight.extension.intervener.RegCrownsReduction%subType MiscellaneousIntervener
       [Log] 11:57, INFO, reading: capsis.extension.economicfunction.IncomeFunction enabled
       [Log] 11:57, INFO, reading: heterofor.extension.ioformat.HetWaterBalanceDailyExport enabled
       [Log] 11:57, INFO, reading: fireparadox.extension.sketcher.FiLayerSetSketcher enabled
       [Log] 11:57, INFO, reading: guppy.extension.dataextractor.FishGeneticLinkage enabled
       [Log] 11:57, INFO, reading: capsis.extension.dataextractor.DEThinTable enabled
       [Log] 11:57, INFO, reading: walltree.extension.intervener.WalThinner enabled
       [Log] 11:57, INFO, reading: capsis.extension.spatializer.LineSpatializer enabled
       [Log] 11:57, INFO, reading: capsis.extension.modeltool.optimizer.OptimizerTool enabled
       [Log] 11:57, INFO, reading: fcba.pseudotsugamenziesii.extension.export.FpmExport enabled
       [Log] 11:57, INFO, reading: salem.extension.dataextractor.SlmTimeRDI enabled
       [Log] 11:57, INFO, reading: capsis.extension.dataextractor.MuTimeTotalVolume enabled
       [Log] 11:57, INFO, reading: capsis.extension.objectviewer.SketchOV enabled
       [Log] 11:57, INFO, reading: samsara2.extension.dataextractor.DETimeCWDVolumePerDecompositionClass%defaultDataRenderer capsis.extension.datarenderer.drgraph.DRStackedAreaGraph
       [Log] 11:57, INFO, reading: template.extension.dataextractor.DETimeData1 enabled
       [Log] 11:57, INFO, reading: capsis.extension.datarenderer.jfreechart.JFCLineChart enabled
       [Log] 11:57, INFO, reading: modispinaster.extension.dataextractor.ModisBiomassViana%defaultDataRenderer capsis.extension.datarenderer.drcurves.DRHistogram
       [Log] 11:57, INFO, reading: sydy.extension.objectviewer.Sydy2DHalf enabled
       [Log] 11:57, INFO, reading: capsis.extension.dataextractor.DEDbhHeight enabled
       [Log] 11:57, INFO, reading: capsis.extension.standviewer.SVSimple enabled
       [Log] 11:57, INFO, reading: capsis.extension.dataextractor.DETimeSizeDispersion enabled
